葡语,中文,词性,单元,难度
colégio,中学,名词,1-U9,2
jardim de infância,幼儿园,名词,1-U9,2
aula,课堂/课程,名词,1-U9,1
matéria,科目,名词,1-U9,2
disciplina,学科,名词,1-U9,2
professor,老师（男）,名词,1-U9,1
professora,老师（女）,名词,1-U9,1
aluno,学生（男）,名词,1-U9,1
aluna,学生（女）,名词,1-U9,1
cadeira,椅子/大学课程,名词,1-U9,2
livro,书,名词,1-U9,1
caderno,笔记本,名词,1-U9,1
caneta,圆珠笔,名词,1-U9,1
lápis,铅笔,名词,1-U9,1
borracha,橡皮,名词,1-U9,2
mochila,书包,名词,1-U9,2
quadro,黑板,名词,1-U9,2
giz,粉笔,名词,1-U9,2
prova,考试,名词,1-U9,2
teste,测验,名词,1-U9,2
trabalho,作业/工作,名词,1-U9,1
nota,分数,名词,1-U9,1
passar,通过/经过,动词,1-U9,2
reprovar,不及格,动词,1-U9,2
formar-se,毕业,动词,1-U9,2
cidade,城市,名词,1-U10,1
vila,村庄,名词,1-U10,2
bairro,社区/街区,名词,1-U10,2
rua,街道,名词,1-U10,1
avenida,大街,名词,1-U10,2
praça,广场,名词,1-U10,1
parque,公园,名词,1-U10,1
jardim,花园,名词,1-U10,2
ponte,桥,名词,1-U10,2
rio,河流,名词,1-U10,2
mar,大海,名词,1-U10,2
montanha,山,名词,1-U10,2
centro,中心,名词,1-U10,1
periferia,郊区,名词,1-U10,2
igreja,教堂,名词,1-U10,2
catedral,大教堂,名词,1-U10,2
museu,博物馆,名词,1-U10,2
teatro,剧院,名词,1-U10,2
cinema,电影院,名词,1-U10,2
biblioteca,图书馆,名词,1-U10,2
hospital,医院,名词,1-U10,2
farmácia,药店,名词,1-U10,2
mercado,市场,名词,1-U10,1
supermercado,超市,名词,1-U10,2
loja,商店,名词,1-U10,1
restaurante,餐厅,名词,1-U10,2
café,咖啡馆,名词,1-U10,1
bar,酒吧,名词,1-U10,2
hotel,酒店,名词,1-U10,2
aeroporto,机场,名词,1-U10,2
estação,车站,名词,1-U10,2
porto,港口,名词,1-U10,2
praia,海滩,名词,1-U10,2
campo,田野/场地,名词,1-U10,2
floresta,森林,名词,1-U10,2
país,国家,名词,1-U11,1
Brasil,巴西,名词,1-U11,1
Portugal,葡萄牙,名词,1-U11,1
Angola,安哥拉,名词,1-U11,1
Moçambique,莫桑比克,名词,1-U11,1
Cabo Verde,佛得角,名词,1-U11,2
Guiné-Bissau,几内亚比绍,名词,1-U11,2
São Tomé e Príncipe,圣多美和普林西比,名词,1-U11,2
Timor-Leste,东帝汶,名词,1-U11,2
brasileiro,巴西人/巴西的,名词/形容词,1-U11,1
português,葡萄牙人/葡萄牙语,名词,1-U11,1
angolano,安哥拉的,形容词,1-U11,2
moçambicano,莫桑比克的,形容词,1-U11,2
europeu,欧洲人,名词,1-U11,2
africano,非洲人,名词,1-U11,2
asiático,亚洲人,名词,1-U11,2
americano,美洲人/美国人,名词,1-U11,2
língua,语言,名词,1-U11,1
idioma,语言,名词,1-U11,2
inglês,英语/英国人,名词,1-U11,1
espanhol,西班牙语,名词,1-U11,1
francês,法语,名词,1-U11,1
alemão,德语,名词,1-U11,1
italiano,意大利语,名词,1-U11,1
russo,俄语,名词,1-U11,2
japonês,日语,名词,1-U11,2
chinês,中文,名词,1-U11,2
árabe,阿拉伯语,名词,1-U11,2
falar,说（语言）,动词,1-U11,1
compreender,理解,动词,1-U11,2
traduzir,翻译,动词,1-U11,2
interpretar,口译,动词,1-U11,2
um,一,数词,1-U12,1
dois,二,数词,1-U12,1
três,三,数词,1-U12,1
quatro,四,数词,1-U12,1
cinco,五,数词,1-U12,1
seis,六,数词,1-U12,1
sete,七,数词,1-U12,1
oito,八,数词,1-U12,1
nove,九,数词,1-U12,1
dez,十,数词,1-U12,1
onze,十一,数词,1-U12,1
doze,十二,数词,1-U12,1
treze,十三,数词,1-U12,1
catorze,十四,数词,1-U12,1
quinze,十五,数词,1-U12,1
dezasseis,十六,数词,1-U12,2
dezassete,十七,数词,1-U12,2
dezoito,十八,数词,1-U12,1
dezanove,十九,数词,1-U12,2
vinte,二十,数词,1-U12,1
trinta,三十,数词,1-U12,1
quarenta,四十,数词,1-U12,1
cinquenta,五十,数词,1-U12,1
sessenta,六十,数词,1-U12,1
setenta,七十,数词,1-U12,1
oitenta,八十,数词,1-U12,1
noventa,九十,数词,1-U12,1
cem,一百,数词,1-U12,1
cento,一百（后接数字）,数词,1-U12,1
duzentos,二百,数词,1-U12,2
trezentos,三百,数词,1-U12,2
quatrocentos,四百,数词,1-U12,2
quinhentos,五百,数词,1-U12,2
seiscentos,六百,数词,1-U12,2
setecentos,七百,数词,1-U12,2
oitocentos,八百,数词,1-U12,2
novecentos,九百,数词,1-U12,2
mil,一千,数词,1-U12,1
milhão,一百万,数词,1-U12,2
primeiro,第一,数词,1-U12,1
segundo,第二,数词,1-U12,1
terceiro,第三,数词,1-U12,1
quarto,第四,数词,1-U12,1
quinto,第五,数词,1-U12,1
sexto,第六,数词,1-U12,1
sétimo,第七,数词,1-U12,1
oitavo,第八,数词,1-U12,1
nono,第九,数词,1-U12,1
décimo,第十,数词,1-U12,1
hoje,今天,副词,1-U13,1
ontem,昨天,副词,1-U13,1
amanhã,明天,副词,1-U13,1
agora,现在,副词,1-U13,1
depois,之后,副词,1-U13,1
antes,之前,副词,1-U13,1
cedo,早,副词,1-U13,1
tarde,晚/下午,副词/名词,1-U13,1
sempre,总是,副词,1-U13,1
nunca,从不,副词,1-U13,1
já,已经,副词,1-U13,1
ainda,仍然/还,副词,1-U13,1
logo,立刻,副词,1-U13,2
breve,不久,副词,1-U13,2
recentemente,最近,副词,1-U13,2
antigamente,以前,副词,1-U13,2
futuramente,将来,副词,1-U13,2
ano,年,名词,1-U13,1
mês,月,名词,1-U13,1
semana,星期,名词,1-U13,1
dia,天/日,名词,1-U13,1
hora,小时,名词,1-U13,1
minuto,分钟,名词,1-U13,1
segundo,秒,名词,1-U13,2
manhã,早晨,名词,1-U13,1
tarde,下午,名词,1-U13,1
noite,晚上,名词,1-U13,1
madrugada,凌晨,名词,1-U13,2
segunda-feira,星期一,名词,1-U13,1
terça-feira,星期二,名词,1-U13,1
quarta-feira,星期三,名词,1-U13,1
quinta-feira,星期四,名词,1-U13,1
sexta-feira,星期五,名词,1-U13,1
sábado,星期六,名词,1-U13,1
domingo,星期日,名词,1-U13,1
janeiro,一月,名词,1-U13,1
fevereiro,二月,名词,1-U13,1
março,三月,名词,1-U13,1
abril,四月,名词,1-U13,1
maio,五月,名词,1-U13,1
junho,六月,名词,1-U13,1
julho,七月,名词,1-U13,1
agosto,八月,名词,1-U13,1
setembro,九月,名词,1-U13,1
outubro,十月,名词,1-U13,1
novembro,十一月,名词,1-U13,1
dezembro,十二月,名词,1-U13,1
primavera,春天,名词,1-U14,1
verão,夏天,名词,1-U14,1
outono,秋天,名词,1-U14,1
inverno,冬天,名词,1-U14,1
tempo,时间/天气,名词,1-U14,1
clima,气候,名词,1-U14,2
temperatura,温度,名词,1-U14,2
sol,太阳,名词,1-U14,1
lua,月亮,名词,1-U14,1
estrela,星星,名词,1-U14,1
céu,天空,名词,1-U14,1
nuvem,云,名词,1-U14,1
chuva,雨,名词,1-U14,1
vento,风,名词,1-U14,1
neve,雪,名词,1-U14,1
calor,热,名词,1-U14,1
frio,冷,名词,1-U14,1
fresco,凉爽,形容词,1-U14,2
seco,干燥,形容词,1-U14,2
úmido,潮湿,形容词,1-U14,2
chuvoso,多雨的,形容词,1-U14,2
ensolarado,晴朗的,形容词,1-U14,2
cabeça,头,名词,1-U15,1
rosto,脸,名词,1-U15,1
olho,眼睛,名词,1-U15,1
nariz,鼻子,名词,1-U15,1
boca,嘴巴,名词,1-U15,1
lábio,嘴唇,名词,1-U15,2
dente,牙齿,名词,1-U15,1
língua,舌头/语言,名词,1-U15,1
orelha,耳朵,名词,1-U15,1
pescoço,脖子,名词,1-U15,1
ombro,肩膀,名词,1-U15,1
braço,手臂,名词,1-U15,1
cotovelo,肘部,名词,1-U15,2
punho,手腕,名词,1-U15,2
mão,手,名词,1-U15,1
dedo,手指,名词,1-U15,1
peito,胸部,名词,1-U15,1
barriga,肚子,名词,1-U15,1
costas,背部,名词,1-U15,1
perna,腿,名词,1-U15,1
joelho,膝盖,名词,1-U15,1
tornozelo,脚踝,名词,1-U15,2
pé,脚,名词,1-U15,1
pele,皮肤,名词,1-U15,2
osso,骨头,名词,1-U15,2
coração,心脏,名词,1-U15,2
sangue,血液,名词,1-U15,2
cérebro,大脑,名词,1-U15,2
pulmão,肺,名词,1-U15,2
estômago,胃,名词,1-U15,2
fígado,肝脏,名词,1-U15,2
rim,肾脏,名词,1-U15,2
saúde,健康,名词,2-U1,1
doença,疾病,名词,2-U1,2
dor,疼痛,名词,2-U1,2
febre,发烧,名词,2-U1,2
gripe,流感,名词,2-U1,2
resfriado,感冒,名词,2-U1,2
tosse,咳嗽,名词,2-U1,2
garganta,喉咙,名词,2-U1,2
remédio,药物,名词,2-U1,2
tratamento,治疗,名词,2-U1,2
médico,医生,名词,2-U1,1
médica,女医生,名词,2-U1,1
enfermeiro,护士（男）,名词,2-U1,1
enfermeira,护士（女）,名词,2-U1,1
dentista,牙医,名词,2-U1,2
cirurgião,外科医生,名词,2-U1,2
hospital,医院,名词,2-U1,2
clínica,诊所,名词,2-U1,2
consulta,就诊,名词,2-U1,2
exame,检查,名词,2-U1,2
cirurgia,手术,名词,2-U1,2
ambulância,救护车,名词,2-U1,2
carro,汽车,名词,2-U2,1
autocarro,公共汽车,名词,2-U2,2
camioneta,面包车,名词,2-U2,2
comboio,火车,名词,2-U2,2
trem,火车（巴葡）,名词,2-U2,2
metro,地铁,名词,2-U2,1
elétrico,有轨电车,名词,2-U2,2
avião,飞机,名词,2-U2,1
helicóptero,直升机,名词,2-U2,2
barco,船,名词,2-U2,1
navio,轮船,名词,2-U2,2
ferry,渡轮,名词,2-U2,2
bicicleta,自行车,名词,2-U2,1
moto,摩托车,名词,2-U2,1
taxi,出租车,名词,2-U2,1
camião,卡车,名词,2-U2,2
trator,拖拉机,名词,2-U2,2
carruagem,马车,名词,2-U2,2
andar,行走/行驶,动词,2-U2,2
conduzir,驾驶,动词,2-U2,2
viajar,旅行,动词,2-U2,1
chegar,到达,动词,2-U2,1
partir,离开,动词,2-U2,2
passagem,车票/通行,名词,2-U2,2
bilhete,票,名词,2-U2,2
estação,车站,名词,2-U2,1
aeroporto,机场,名词,2-U2,2
porto,港口,名词,2-U2,2
terminal,终点站,名词,2-U2,2
amor,爱,名词,2-U3,1
ódio,恨,名词,2-U3,2
alegria,快乐,名词,2-U3,1
tristeza,悲伤,名词,2-U3,1
raiva,愤怒,名词,2-U3,1
medo,恐惧,名词,2-U3,1
ciúmes,嫉妒,名词,2-U3,2
inveja,羡慕/嫉妒,名词,2-U3,2
saudade,思念/怀旧,名词,2-U3,2
esperança,希望,名词,2-U3,1
desespero,绝望,名词,2-U3,2
paz,和平,名词,2-U3,1
guerra,战争,名词,2-U3,2
calma,平静,名词,2-U3,2
ansiedade,焦虑,名词,2-U3,2
estresse,压力,名词,2-U3,2
depressão,抑郁,名词,2-U3,2
alívio,解脱,名词,2-U3,2
orgulho,骄傲,名词,2-U3,2
vergonha,羞耻,名词,2-U3,
